__label__2,omg youre hometown daetwe always eat hoogpaan love grilled tuna pangahope enjoyed stay daet camarines norteingat always
__label__1,im ok beef tapa jollibee pineapple juice
__label__1,tummy happiness way
__label__1,oldest chinatown world established
__label__2,love guy salamat po
__label__2,wow sea food look amazing taste amazing though made mouth watering hahaha much fun watched thanks sharing peace
__label__2,miss
__label__3,try kalanggaman island guy
__label__1,hrefhttpswwwyoutubecomwatchvhlsrslltsamptmsa use rexona sweat odor protection
__label__2,da man mike happy birthday love emotion nelly thanks sharing homeland culture
__label__1,cebu vast almug wood ancient time even narra tree cebu
__label__2,im glad know even kind situation positive people like mike nellie always see thing positive way thank making philippine homebrkeep safe guy im always watching blog god bless
__label__1,ive assigned three decade untill retirement sad say deposed late president marcos air defense capability philippine air force ignored jet fighter aircraft purchased replace existing fighter aircraft untill decomissioning led downgrading fw nevertheless look forward someday slowly surely believe fw regain former glory love see happen even though retired already mabuhay ang fw mabuhay ang mga basa boy
__label__1,husband hang coffee shop return home take break hustle bustle california life please reveal location soon
__label__1,difficult joining pma dont bright brain
__label__2,rest must dont quit buying furniture tricky time depends budget amp mobility issue youre planning stay year longer usually get futon sofa bed easy visitor starter bed table could smaller since guy amp possible company furniture place makati know expensive might delivery idk divisoria used get cheap furniture guy im cheap lol enjoy looking around maybe sm would good look since ive back pi take time amp dont buy impulse worst lol xoxo amp soon k congrats
__label__1,kid probably hunting bird slingshot common province
__label__1,true even riding bus country music played background american movie
__label__2,im happy see youre cat peanut
__label__2,look like kidsenjoying first christmas spirit christmas truly felt experienced philippine
__label__1,excelente ham xmas always good mike
__label__2,much subscriber well deserved
__label__2,nice seeing guyz
__label__3,try also ilocos
__label__3,hi guy suggestion dont guy buy tv watch news know whats going
__label__0,nelly iwatch weight
__label__2,nicely done camera guy using look good low light
__label__3,recommend change channel name cant believe
__label__1,ive around probably month le year youre really moving ph might consider staying farm somewhere greater manila area bulacan batangas since love coffee move coffee farm cavite batangas
__label__2,love embrace living philippine filamericn new subscriber ive watching vlogs since lockdown siargao lovely couple supportive
__label__1,hey place located makati thanks
__label__2,sorry mike sad hoping praying every thing okey take time heal recuperate time heals still hoping step lead others heart near future supporting watching vlogs hoping someday see guy together others sweat heart wishing best
__label__1,father veteran soldier mindanao fought many battle saw scenario ishit defensive position said ishit advantage phil army scout ranger truly elite despite advantage enemy like hostage position sniper high building etc still manage get take yr syria minimise take mnths phil soldier massacre isi rat
__label__2,praying family well great know fine
__label__1,called tortillascome corn flourauthentic mexican cuisine serve corn
__label__2,love mike nelly proud sooo much would apply dual citizenship full fledged filipino
__label__3,try go balesin island wont regret like theme park island
__label__2,love watching vlogs foreigner vlogging experience phil couple favorite real true natural love u guy
__label__3,yall need go outside makati sense location mall asia sm southmall alabang town center araneta center cent
__label__0,thumb video
__label__2,revenge make laugh hard lol
__label__2,hellooooo always great collabtake outmost care tho going
__label__1,beauty eye beholder
__label__2,congratulation mike wishing success endeavor business
__label__1,tried mighty travel premium yet
__label__2,mike almost k
__label__1,hahahahahaha beginning video one thing saw firstladiess dress color matching scooter luicy red nelly yelloworange
__label__2,congrats guy hitting k subscriber well deserved followed making high quality video beloved country philippine thank mike nelly
__label__2,im watching montreal quebec canada thank guy visiting lovely country philippine
__label__1,nice
__label__1,missed province life nature fresh air
__label__2,make happen k
__label__2,filipino food great thanks sharing mike nelly
__label__1,exact location pls
__label__3,trim top part hair mike keep pushing back hand time hand get dirty
__label__2,im simple filipino see mike nelly click instantly
__label__1,peanut adorable taco well missed thatbrnyway cat adorable creature
__label__1,filipino believe want last long bed longer sex stamen eat balut
__label__2,believe bro
__label__2,husband norwegianamerican like love filipino sinigang almost filipino dish really appreciate foreigner love tastebram one follower hope youve enjoyed stay siargao safe god bless
__label__2,amazing collab guy
__label__2,enjoyed watching vlog
__label__3,surprise family bringing ofw parentssonsdaughters home christmas holiday
__label__2,joke pure funny nice editing also
__label__3,nelly peanut one video pls
__label__1,wonder get philhealth well super cheap useful case emergency
__label__1,good food happy tummy good mood
__label__2,im almost choking watching emotional guy got especially nelly shes truly sensitive lady
__label__2,thank much max reaction
__label__1,second starbucks shop oldest one thentbe first one newest
__label__1,ka na let eat tagalog bisaya brkaon tabrlamibisaya saraptagalogdelicious thank god youve imbibed pinoy quotsurvivalquot attitude smile safe travel
__label__3,try visit bukidnon davao see wonderful place
__label__3,try sumo niku japanese version kbbq glorietta best
__label__1,hi nelly
__label__2,yay k congratulation well deserved
__label__1,guy break
__label__3,hello miketry explore bolinao pangasinanwhere find amazing cave swimumder hundred islandtry
__label__3,wish see beautiful fall visit iligan city youll see lot
__label__1,doh lockdown guy
__label__2,get well soon nelly
__label__1,hrefhttpswwwyoutubecomwatchvenpmpumyamptmsa eyy jobert gonna side onbros bfore ho dude lolol
__label__2,thanks safe amp nobody get hurt
__label__2,nice cool
__label__1,welcome home townbislig city
__label__2,thank sooo much positivity good job philippine nice intro emotional brstay safe cheer canada
__label__1,imagining ton fish needed hope also help sea produce fish
__label__1,great music whats title
__label__2,good morning nj wow love took video early morning philippine love love love catching sun early morning home year drink coffee watching brain actually triggered memory smell philippine morning thanks
__label__0,story true fke
__label__1,deym loooooks sooo gooooooooood
__label__1,dapat lahat ng mga kabataan bata turuan magbasa ng bible andun talaga sa bible ang pinas dito sa pinas nananahan ang diyos ama pinas ang bayang pinili nya national anthem natin chosen land tignan nyo ang mapa ng pilipinas parang may crown sa ulo basa ng bible dun nyo malalaman kung san nagmula ang lahi natin
__label__1,there shake shack asean country sg ph honor one bgc taguig city
__label__1,quite underwhelmed initial encounter probably swam deeper farther nd encounter hrefhttpswwwyoutubecomwatchvzukldondvaoamptmsa mind hear phrase swimming whale shark
