text,label
omg youre hometown daetwe always eat hoogpaan love grilled tuna pangahope enjoyed stay daet camarines norteingat always,__label__2
im ok beef tapa jollibee pineapple juice,__label__1
tummy happiness way,__label__1
oldest chinatown world established,__label__1
love guy salamat po,__label__2
wow sea food look amazing taste amazing though made mouth watering hahaha much fun watched thanks sharing peace,__label__2
miss,__label__2
try kalanggaman island guy,__label__3
hrefhttpswwwyoutubecomwatchvhlsrslltsamptmsa use rexona sweat odor protection,__label__1
da man mike happy birthday love emotion nelly thanks sharing homeland culture,__label__2
cebu vast almug wood ancient time even narra tree cebu,__label__1
im glad know even kind situation positive people like mike nellie always see thing positive way thank making philippine homebrkeep safe guy im always watching blog god bless,__label__2
ive assigned three decade untill retirement sad say deposed late president marcos air defense capability philippine air force ignored jet fighter aircraft purchased replace existing fighter aircraft untill decomissioning led downgrading fw nevertheless look forward someday slowly surely believe fw regain former glory love see happen even though retired already mabuhay ang fw mabuhay ang mga basa boy,__label__1
husband hang coffee shop return home take break hustle bustle california life please reveal location soon,__label__1
difficult joining pma dont bright brain,__label__1
rest must dont quit buying furniture tricky time depends budget amp mobility issue youre planning stay year longer usually get futon sofa bed easy visitor starter bed table could smaller since guy amp possible company furniture place makati know expensive might delivery idk divisoria used get cheap furniture guy im cheap lol enjoy looking around maybe sm would good look since ive back pi take time amp dont buy impulse worst lol xoxo amp soon k congrats,__label__2
kid probably hunting bird slingshot common province,__label__1
true even riding bus country music played background american movie,__label__1
im happy see youre cat peanut,__label__2
look like kidsenjoying first christmas spirit christmas truly felt experienced philippine,__label__2
excelente ham xmas always good mike,__label__1
much subscriber well deserved,__label__2
nice seeing guyz,__label__2
try also ilocos,__label__3
hi guy suggestion dont guy buy tv watch news know whats going,__label__3
nelly iwatch weight,__label__0
nicely done camera guy using look good low light,__label__2
recommend change channel name cant believe,__label__3
ive around probably month le year youre really moving ph might consider staying farm somewhere greater manila area bulacan batangas since love coffee move coffee farm cavite batangas,__label__1
love embrace living philippine filamericn new subscriber ive watching vlogs since lockdown siargao lovely couple supportive,__label__2
hey place located makati thanks,__label__1
sorry mike sad hoping praying every thing okey take time heal recuperate time heals still hoping step lead others heart near future supporting watching vlogs hoping someday see guy together others sweat heart wishing best,__label__2
father veteran soldier mindanao fought many battle saw scenario ishit defensive position said ishit advantage phil army scout ranger truly elite despite advantage enemy like hostage position sniper high building etc still manage get take yr syria minimise take mnths phil soldier massacre isi rat,__label__1
praying family well great know fine,__label__2
called tortillascome corn flourauthentic mexican cuisine serve corn,__label__1
love mike nelly proud sooo much would apply dual citizenship full fledged filipino,__label__2
try go balesin island wont regret like theme park island,__label__3
love watching vlogs foreigner vlogging experience phil couple favorite real true natural love u guy,__label__2
yall need go outside makati sense location mall asia sm southmall alabang town center araneta center cent,__label__3
thumb video,__label__0
revenge make laugh hard lol,__label__2
hellooooo always great collabtake outmost care tho going,__label__2
beauty eye beholder,__label__1
congratulation mike wishing success endeavor business,__label__2
tried mighty travel premium yet,__label__1
mike almost k,__label__2
hahahahahaha beginning video one thing saw firstladiess dress color matching scooter luicy red nelly yelloworange,__label__1
congrats guy hitting k subscriber well deserved followed making high quality video beloved country philippine thank mike nelly,__label__2
im watching montreal quebec canada thank guy visiting lovely country philippine,__label__2
nice,__label__1
missed province life nature fresh air,__label__1
make happen k,__label__2
